cardID,phone
3535208848433345,2611407229
3539998785545905,2318969885
4041377485936095,2169584918
4041377485936095,6975485576
676390693864711764,2316751422
3569406591188236,2182041248
3569406591188236,6991322358
3558564444026699,2198786977
6331100457650534,2616497510
6331100457650534,6984277996
30387378609171,2613993161
676281548954731050,2192989208
337941622735875,2613234975
337941622735875,6944463542
3528583765397106,2318563029
3528583765397106,6966051111
372383746387083,2313665810
372383746387083,6919439379
4026692380128484,2184273777
5602231135655134,2315522678
374283917434193,2611575791
374283917434193,6985012989
67595160748032499,2131400087
67595160748032499,6921868588
374283683825996,2194324713
3569356686756787,2188578258
3569356686756787,6956506033
3553025778183931,2616129687
3553025778183931,6989001097
0604376014175388,2612011037
0604376014175388,6933154224
670683223721340646,2152296746
3531043064624887,2152228255
3531043064624887,6994371257
5207029705515384,2611003885
5263546534379162,2614533560
3553118128524860,2156977610
6759715810673034644,2314409884
3555002503642307,2314909277
5100172033116208,2141737571
36638250887382,2315721353
36638250887382,6962511751
3581587998583501,2611026284
3550367633873675,2318450291
3577965861172410,2618149448
3577965861172410,6920756991
3578048947019647,2618887458
56103459296197789,2121098114
4903553890958695,2164031691
4903553890958695,6913223962
3569072843533114,2315489700
3538831836285968,2179666693
6393334380347018,2166094531
6393334380347018,6975246143
5002352705839456,2156892336
5002352705839456,6952794849
374283905489688,2616413073
374283905489688,6945940038
060454171140399597,2616952109
6709215957576635,2185953406
6709215957576635,6972806533
3538808036316660,2611892765
3538808036316660,6912714328
5018910545891191694,2194068015
5118502036738196,2612899754
5118502036738196,6939159942
5007661765647525,2615675658
3565332538851740,2124370673
3565332538851740,6990432222
5297302816571278,2142695382
372301948553351,2313607860
372301948553351,6938309380
372301124352560,2319097958
3564160013342450,2177800216
3572003915850917,2174195944
3579344635413922,2153549425
3545438764279673,2313876345
3547496755899097,2197217804
3547496755899097,6977394085
201614505517297,2142532527
3561990232680915,2135278004
201990706595849,2319753542
4455818206878362,2155606751
4455818206878362,6943589534
3530531725837261,2175415672
3530531725837261,6924333903
67065525562411782,2616330973
3579308397097785,2615505531
3579308397097785,6949575919
5602219761239208,2140034506
5602219761239208,6986194827
3574089970812031,2311061747
3574089970812031,6972845473
3566590909640518,2614184923
3536082092730923,2140836347
3536082092730923,6922189062
3529433383121539,2181885936
4917235811766605,2195963019
30302136787797,2312885254
374622689513686,2617680574
36354690593594,2317764714
36354690593594,6974679611
5610770031451627,2114420420
5610770031451627,6954096824
201982585224021,2315213327
201982585224021,6913293572
3532936590194847,2618260162
3532936590194847,6931844749
3545659269439088,2182652165
3545659269439088,6997514330
3586607188605404,2152186086
3559343893828874,2183892852
3559343893828874,6939886137
201589839259388,2176713221
3530967178650191,2314112053
4017951063872334,2198543500
3534094666570389,2317315956
3534094666570389,6998079881
3558256734255068,2187278094
4917176465749309,2619617527
4917176465749309,6958597168
3566089958652391,2157915979
3566089958652391,6928390980
5893029082741615841,2318682964
5893029082741615841,6915340458
3583569692274056,2161132015
4041597431514692,2315995968
30306750272465,2615653010
3569950407569519,2618350395
560222888244151232,2137902468
3586261359853680,2316642756
5610184730337642,2120883189
56022324933716664,2611517632
3539902749164589,2152064608
3539902749164589,6952066241
3566387705234699,2315178809
3566387705234699,6986614319
3582763357345134,2312533910
5048373274330517,2128331091
3579443124879294,2319315312
4917985348865755,2148581144
4917985348865755,6912664666
36540703475478,2122761110
